Respondent ID,Division,Which of the following best describes your position level?,Which generation are you apart of?,Please select the gender in which you identify.,Which duration range best aligns with your tenure at your company?,Which of the following best describes your employment type?,Question - Subquestion,Answer,Total Respondants,Same Answers
4383571615,Infrastructure,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response,Answer 5,119,22
3087114007,Information Technology,Staff,Baby Boomer (born between 1946-1964),Male,3-5 years,Full time Employee,Question 1 - Response,Answer 5,119,22
9806028857,0,,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 5,119,22
5585138853,Executive,Manager,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 1 - Response,Answer 5,119,22
6206953310,Executive,Staff,Prefer not to answer,Female,10+ years,Full time Employee,Question 1 - Response,Answer 5,119,22
3860289517,Government & Public Relations,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 5,119,22
6014941727,Commercial,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 5,119,22
8311558071,People,Staff,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 5,119,22
5386015734,Port Operations,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 5,119,22
2062616124,Finance,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response,Answer 5,119,22
5488107363,People,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 5,119,22
1636734067,Information Technology,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response,Answer 5,119,22
5202048947,People,Staff,Generation X (born between 1965-1980),Prefer not to answer,3-5 years,Full time Employee,Question 1 - Response,Answer 5,119,22
7331440341,Information Technology,Staff,Millennial (born between 1981-2000),Prefer not to answer,5-10 years,Full time Employee,Question 1 - Response,Answer 5,119,22
4366243452,Information Technology,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 5,119,22
6478560213,Information Technology,Staff,Prefer not to answer,Male,10+ years,Full time Employee,Question 1 - Response,Answer 5,119,22
1914548336,Finance,Department Lead,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 5,119,22
6796580906,Finance,Manager,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 1 - Response,Answer 5,119,22
8453428178,Commercial,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 5,119,22
1426184525,Finance,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response,Answer 5,119,22
5044294817,Legal,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response,Answer 6,119,16
6316782091,Finance,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 6,119,16
2899153341,Executive,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 6,119,16
4870706994,Commercial,Staff,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 1 - Response,Answer 6,119,16
5177954332,Finance,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 6,119,16
9183378071,People,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 6,119,16
5350663671,Information Technology,Department Lead,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response,Answer 6,119,16
4008763646,Infrastructure,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 6,119,16
6909546929,Finance,Manager,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 6,119,16
2126438547,Infrastructure,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1 - Response,Answer 6,119,16
9858203307,Finance,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 1 - Response,Answer 6,119,16
5282809243,Finance,Staff,Generation Z (born 2001 or later),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 6,119,16
8630148625,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response,Answer 6,119,16
1485638866,Infrastructure,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 6,119,16
2628194343,Executive,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response,Answer 6,119,16
1941311372,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 6,119,16
3397360934,Legal,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1 - Response,Answer 7,119,11
1321967343,Legal,Department Lead,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 1 - Response,Answer 7,119,11
2206081204,People,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 7,119,11
4166850362,Infrastructure,Staff,Generation X (born between 1965-1980),Prefer not to answer,10+ years,Full time Employee,Question 1 - Response,Answer 7,119,11
2932152777,Finance,,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response,Answer 7,119,11
8708081021,Port Security & Emergency Operations,Department Lead,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 7,119,11
5633495172,Infrastructure,Staff,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 7,119,11
4341029891,Finance,Staff,Prefer not to answer,Male,3-5 years,Full time Employee,Question 1 - Response,Answer 7,119,11
1338692945,Infrastructure,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response,Answer 7,119,11
1001882880,Infrastructure,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 7,119,11
7325851635,Infrastructure,Manager,Millennial (born between 1981-2000),Prefer not to answer,3-5 years,Full time Employee,Question 1 - Response,Answer 7,119,11
3399511781,Infrastructure,Staff,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1 - Response,Answer 8,119,16
9860597462,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response,Answer 8,119,16
1948472863,People,Department Lead,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 8,119,16
3618961108,Infrastructure,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1 - Response,Answer 8,119,16
7149169711,People,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response,Answer 8,119,16
2373830201,Infrastructure,Department Lead,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 8,119,16
5078285109,Finance,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response,Answer 8,119,16
8585347438,Infrastructure,Manager,Prefer not to answer,Male,5-10 years,Full time Employee,Question 1 - Response,Answer 8,119,16
2817787256,Information Technology,Staff,Baby Boomer (born between 1946-1964),Female,5-10 years,Full time Employee,Question 1 - Response,Answer 8,119,16
6776579131,Commercial,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 8,119,16
6983214026,Infrastructure,Department Lead,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 8,119,16
7103482882,Infrastructure,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 8,119,16
3966690436,Infrastructure,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 1 - Response,Answer 8,119,16
1264208927,Port Security & Emergency Operations,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response,Answer 8,119,16
9625886165,Information Technology,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 8,119,16
6903105973,Finance,Manager,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 8,119,16
5535865599,Infrastructure,Manager,Millennial (born between 1981-2000),Non-Binary,5-10 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
6904821010,Construction ,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
9736526482,Finance,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
6573346680,Commercial,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
4211032639,Infrastructure,Staff,Baby Boomer (born between 1946-1964),Female,5-10 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
5350663671,Information Technology,Department Lead,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
8708081021,Port Security & Emergency Operations,Department Lead,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
2850296334,Infrastructure,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
6285007368,People,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
6270834102,Finance,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
7876887860,Internal Audit,Manager,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
1021794253,Commercial,Department Lead,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
6080354155,Executive,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
8630148625,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
7325851635,Infrastructure,Manager,Millennial (born between 1981-2000),Prefer not to answer,3-5 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
8114622230,Information Technology,Staff,Prefer not to answer,Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 1,118,16
2658722536,Finance,Staff,,,10+ years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
9860597462,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
1754220060,Finance,Department Lead,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
5081486733,Port Security & Emergency Operations,Manager,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
7852677398,People,Manager,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
5585138853,Executive,Manager,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
8087395217,Infrastructure,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
7149169711,People,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
9983361274,Information Technology,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
7133066581,Information Technology,Staff,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
3206389468,Commercial,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
1914548336,Finance,Department Lead,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
7447366993,Information Technology,Staff,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
2102054017,Finance,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
3966690436,Infrastructure,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 1 - Response.1,Answer 2,118,15
3356802928,Port Operations,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
3397360934,Legal,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
9624253323,Infrastructure,Staff,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
7901328134,Information Technology,Staff,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
4166850362,Infrastructure,Staff,Generation X (born between 1965-1980),Prefer not to answer,10+ years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
4625088666,Finance,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
6014941727,Commercial,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
5078285109,Finance,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
4228546491,Information Technology,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
5202048947,People,Staff,Generation X (born between 1965-1980),Prefer not to answer,3-5 years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
2065485156,Port Security & Emergency Operations,Chief / Executive,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
9328885416,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
5953471955,People,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
8253262223,People,Department Lead,Baby Boomer (born between 1946-1964),Male,3-5 years,Full time Employee,Question 1 - Response.1,Answer 3,118,14
8035211358,Commercial,Manager,Prefer not to answer,Prefer not to answer,5-10 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
2855503402,Finance,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
3968415666,Legal,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
9945822370,Finance,Staff,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
4075412109,Finance,Staff,Prefer not to answer,Prefer not to answer,3-5 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
6316782091,Finance,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
2899153341,Executive,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
5382550855,Finance,Department Lead,Baby Boomer (born between 1946-1964),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
9183378071,People,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
3550987529,Finance,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
3244391841,People,Manager,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
2375491161,Information Technology,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response.1,Answer 4,118,12
1494621946,Infrastructure,Chief / Executive,Baby Boomer (born between 1946-1964),Male,3-5 years,Full time Employee,Question 1 - Response.1,Answer 5,118,10
2455127238,Information Technology,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 5,118,10
6285875694,Commercial,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1 - Response.1,Answer 5,118,10
1627698070,Port Operations,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 5,118,10
3868607625,Legal,Manager,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response.1,Answer 5,118,10
6225804357,Rather not say,Manager,Generation X (born between 1965-1980),Prefer not to answer,10+ years,Full time Employee,Question 1 - Response.1,Answer 5,118,10
2014555149,Information Technology,Department Lead,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 5,118,10
4366243452,Information Technology,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Question 1 - Response.1,Answer 5,118,10
1485638866,Infrastructure,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 5,118,10
5559071396,Port Security & Emergency Operations,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response.1,Answer 5,118,10
5379192392,Infrastructure,Staff,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
3399511781,Infrastructure,Staff,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
7089369660,Finance,Staff,Baby Boomer (born between 1946-1964),,10+ years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
4383571615,Infrastructure,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
9270992319,Information Technology,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
5794920197,Legal,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
1948472863,People,Department Lead,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
7178840935,People,Department Lead,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
4870706994,Commercial,Staff,Prefer not to answer,Prefer not to answer,10+ years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
5297870739,Commercial,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
5177954332,Finance,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
1411900712,Finance,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
8311558071,People,Staff,Generation X (born between 1965-1980),Female,0-2 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
1967962301,Port Operations,Department Lead,Millennial (born between 1981-2000),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
6841338036,Executive,Chief / Executive,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
1338692945,Infrastructure,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
4910729713,Finance,Staff,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
2628194343,Executive,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
1941311372,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
8569413026,Infrastructure,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
2841747833,Information Technology,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 6,118,21
4044163394,Infrastructure,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1 - Response.1,Answer 7,118,19
8646387163,Information Technology,Manager,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1 - Response.1,Answer 7,118,19
3536054852,Commercial,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1 - Response.1,Answer 7,118,19
2273018449,Finance,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response.1,Answer 7,118,19
